"area_name","area_code","date","new_cases","total_cases"
"Hammersmith and Fulham","E09000013",2020-06-17,3,724
"Haringey","E09000014",2020-06-17,2,731
"Harrow","E09000015",2020-06-17,0,1258
"Havering","E09000016",2020-06-17,0,912
"Hillingdon","E09000017",2020-06-17,0,1048
"Hounslow","E09000018",2020-06-17,3,1015
"Islington","E09000019",2020-06-17,1,536
"Kensington and Chelsea","E09000020",2020-06-17,6,549
"Kingston upon Thames","E09000021",2020-06-17,1,728
"Lambeth","E09000022",2020-06-17,0,1345
"Lewisham","E09000023",2020-06-17,2,1178
"Merton","E09000024",2020-06-17,1,914
"Newham","E09000025",2020-06-17,1,1236
"Redbridge","E09000026",2020-06-17,2,1078
"Richmond upon Thames","E09000027",2020-06-17,1,524
"Southwark","E09000028",2020-06-17,1,1413
"Sutton","E09000029",2020-06-17,0,990
"Tower Hamlets","E09000030",2020-06-17,1,780
"Waltham Forest","E09000031",2020-06-17,2,983
"Wandsworth","E09000032",2020-06-17,4,1126
"Westminster","E09000033",2020-06-17,0,760
"Barking and Dagenham","E09000002",2020-06-18,0,688
"Barnet","E09000003",2020-06-18,1,1574
"Bexley","E09000004",2020-06-18,1,1025
"Brent","E09000005",2020-06-18,1,1704
"Bromley","E09000006",2020-06-18,4,1504
"Camden","E09000007",2020-06-18,2,694
"Croydon","E09000008",2020-06-18,2,1829
"Ealing","E09000009",2020-06-18,2,1511
"Enfield","E09000010",2020-06-18,0,1156
"Greenwich","E09000011",2020-06-18,3,936
"Hackney and City of London","E09000012",2020-06-18,3,792
"Hammersmith and Fulham","E09000013",2020-06-18,2,726
"Haringey","E09000014",2020-06-18,0,731
"Harrow","E09000015",2020-06-18,1,1259
"Havering","E09000016",2020-06-18,0,912
"Hillingdon","E09000017",2020-06-18,0,1048
"Hounslow","E09000018",2020-06-18,3,1018
"Islington","E09000019",2020-06-18,3,539
"Kensington and Chelsea","E09000020",2020-06-18,0,549
"Kingston upon Thames","E09000021",2020-06-18,0,728
"Lambeth","E09000022",2020-06-18,0,1345
"Lewisham","E09000023",2020-06-18,2,1180
"Merton","E09000024",2020-06-18,1,915
"Newham","E09000025",2020-06-18,2,1238
"Redbridge","E09000026",2020-06-18,2,1080
"Richmond upon Thames","E09000027",2020-06-18,0,524
"Southwark","E09000028",2020-06-18,5,1418
"Sutton","E09000029",2020-06-18,2,992
"Tower Hamlets","E09000030",2020-06-18,0,780
"Waltham Forest","E09000031",2020-06-18,1,984
"Wandsworth","E09000032",2020-06-18,1,1127
"Westminster","E09000033",2020-06-18,2,762
"Barking and Dagenham","E09000002",2020-06-19,0,688
"Barnet","E09000003",2020-06-19,0,1574
"Bexley","E09000004",2020-06-19,3,1028
"Brent","E09000005",2020-06-19,1,1705
"Bromley","E09000006",2020-06-19,1,1505
"Camden","E09000007",2020-06-19,1,695
"Croydon","E09000008",2020-06-19,0,1829
"Ealing","E09000009",2020-06-19,3,1514
"Enfield","E09000010",2020-06-19,0,1156
"Greenwich","E09000011",2020-06-19,1,937
"Hackney and City of London","E09000012",2020-06-19,1,793
"Hammersmith and Fulham","E09000013",2020-06-19,2,728
"Haringey","E09000014",2020-06-19,0,731
"Harrow","E09000015",2020-06-19,1,1260
"Havering","E09000016",2020-06-19,1,913
"Hillingdon","E09000017",2020-06-19,1,1049
"Hounslow","E09000018",2020-06-19,3,1021
"Islington","E09000019",2020-06-19,0,539
"Kensington and Chelsea","E09000020",2020-06-19,1,550
"Kingston upon Thames","E09000021",2020-06-19,0,728
"Lambeth","E09000022",2020-06-19,1,1346
"Lewisham","E09000023",2020-06-19,1,1181
"Merton","E09000024",2020-06-19,2,917
"Newham","E09000025",2020-06-19,2,1240
"Redbridge","E09000026",2020-06-19,1,1081
"Richmond upon Thames","E09000027",2020-06-19,0,524
"Southwark","E09000028",2020-06-19,2,1420
"Sutton","E09000029",2020-06-19,0,992
"Tower Hamlets","E09000030",2020-06-19,5,785
"Waltham Forest","E09000031",2020-06-19,3,987
"Wandsworth","E09000032",2020-06-19,0,1127
"Westminster","E09000033",2020-06-19,0,762
"Barking and Dagenham","E09000002",2020-06-20,0,688
"Barnet","E09000003",2020-06-20,0,1574
"Bexley","E09000004",2020-06-20,4,1032
"Brent","E09000005",2020-06-20,2,1707
"Bromley","E09000006",2020-06-20,0,1505
"Camden","E09000007",2020-06-20,1,696
"Croydon","E09000008",2020-06-20,2,1831
"Ealing","E09000009",2020-06-20,4,1518
"Enfield","E09000010",2020-06-20,1,1157
"Greenwich","E09000011",2020-06-20,0,937
"Hackney and City of London","E09000012",2020-06-20,0,793
"Hammersmith and Fulham","E09000013",2020-06-20,1,729
"Haringey","E09000014",2020-06-20,1,732
"Harrow","E09000015",2020-06-20,1,1261
"Havering","E09000016",2020-06-20,0,913
"Hillingdon","E09000017",2020-06-20,1,1050
"Hounslow","E09000018",2020-06-20,1,1022
"Islington","E09000019",2020-06-20,1,540
"Kensington and Chelsea","E09000020",2020-06-20,0,550
"Kingston upon Thames","E09000021",2020-06-20,0,728
"Lambeth","E09000022",2020-06-20,0,1346
"Lewisham","E09000023",2020-06-20,0,1181
"Merton","E09000024",2020-06-20,0,917
"Newham","E09000025",2020-06-20,0,1240
"Redbridge","E09000026",2020-06-20,1,1082
"Richmond upon Thames","E09000027",2020-06-20,0,524
"Southwark","E09000028",2020-06-20,1,1421
"Sutton","E09000029",2020-06-20,0,992
"Tower Hamlets","E09000030",2020-06-20,2,787
"Waltham Forest","E09000031",2020-06-20,1,988
"Wandsworth","E09000032",2020-06-20,2,1129
"Westminster","E09000033",2020-06-20,1,763
"Barking and Dagenham","E09000002",2020-06-21,2,690
"Barnet","E09000003",2020-06-21,1,1575
"Bexley","E09000004",2020-06-21,1,1033
"Brent","E09000005",2020-06-21,4,1711
"Bromley","E09000006",2020-06-21,0,1505
"Camden","E09000007",2020-06-21,0,696
"Croydon","E09000008",2020-06-21,1,1832
"Ealing","E09000009",2020-06-21,1,1519
"Enfield","E09000010",2020-06-21,0,1157
"Greenwich","E09000011",2020-06-21,0,937
"Hackney and City of London","E09000012",2020-06-21,0,793
"Hammersmith and Fulham","E09000013",2020-06-21,0,729
"Haringey","E09000014",2020-06-21,1,733
"Harrow","E09000015",2020-06-21,0,1261
"Havering","E09000016",2020-06-21,0,913
"Hillingdon","E09000017",2020-06-21,2,1052
"Hounslow","E09000018",2020-06-21,5,1027
"Islington","E09000019",2020-06-21,0,540
"Kensington and Chelsea","E09000020",2020-06-21,0,550
"Kingston upon Thames","E09000021",2020-06-21,0,728
"Lambeth","E09000022",2020-06-21,0,1346
"Lewisham","E09000023",2020-06-21,1,1182
"Merton","E09000024",2020-06-21,0,917
"Newham","E09000025",2020-06-21,2,1242
"Redbridge","E09000026",2020-06-21,2,1084
"Richmond upon Thames","E09000027",2020-06-21,0,524
"Southwark","E09000028",2020-06-21,0,1421
"Sutton","E09000029",2020-06-21,1,993
"Tower Hamlets","E09000030",2020-06-21,0,787
"Waltham Forest","E09000031",2020-06-21,1,989
"Wandsworth","E09000032",2020-06-21,0,1129
"Westminster","E09000033",2020-06-21,2,765
"Barking and Dagenham","E09000002",2020-06-22,1,691
"Barnet","E09000003",2020-06-22,0,1575
"Bexley","E09000004",2020-06-22,1,1034
"Brent","E09000005",2020-06-22,2,1713
"Bromley","E09000006",2020-06-22,0,1505
"Camden","E09000007",2020-06-22,0,696
"Croydon","E09000008",2020-06-22,1,1833
"Ealing","E09000009",2020-06-22,2,1521
